file,name,rows_estimate,usefulness_score_0_to_3,has_day_column,has_time_column,has_volume_column,columns,error
A:\TrafficAnalytics\PROJECTS\reports\deduped\month_of_year_profile.csv,month_of_year_profile.csv,148,2,True,False,True,month_label | month_start | next_month_start | month_of_year | month_name | month_total_volume | days_loaded | avg_daily_volume | month_elapsed_seconds | completed_at_epoch | row_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\monthly_totals.csv,monthly_totals.csv,148,1,False,False,True,month_label | month_start | next_month_start | month_total_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\processing_time\processing_time_summary_all_json.csv,processing_time_summary_all_json.csv,13,1,False,False,True,file | metric_name | date_range_start | date_range_end | months_total | months_completed | is_complete | total_elapsed_seconds | total_elapsed_hours | generated_at_epoch | zero_row_months,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\campaign_charts\campaign_chart_index.csv,campaign_chart_index.csv,7,0,False,False,False,filename | description,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\campaign_charts\campaign_portfolio_simulation_summary.csv,campaign_portfolio_simulation_summary.csv,14,1,False,False,True,portfolio_size | site_share_percent | captured_volume | captured_share_percent | incremental_sites | incremental_volume | incremental_share_percent | avg_incremental_share_per_site | efficiency_ratio,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\charts\site_visuals_chart_index.csv,site_visuals_chart_index.csv,9,0,False,False,False,filename | description,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\charts_v2\site_visuals_v2_chart_index.csv,site_visuals_v2_chart_index.csv,9,0,False,False,False,filename | description,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\concentration_charts\city_level_concentration_summary.csv,city_level_concentration_summary.csv,13,0,False,False,False,sites | site_share | traffic_share,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\concentration_charts\rank_group_density_summary.csv,rank_group_density_summary.csv,6,1,False,False,True,group | sites | avg_volume_per_site | traffic_share,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\concentration_charts\traffic_concentration_next_chart_index.csv,traffic_concentration_next_chart_index.csv,8,0,False,False,False,filename | description,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\concentration_charts\traffic_threshold_sites_required.csv,traffic_threshold_sites_required.csv,6,0,False,False,False,traffic_threshold | sites_needed | site_share_percent,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\revenue_charts\revenue_simulation_summary.csv,revenue_simulation_summary.csv,10,0,False,False,False,sites | revenue | cost | profit | revenue_per_site,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\revenue_charts_v2\portfolio_base_summary.csv,portfolio_base_summary.csv,10,1,False,False,True,sites | volume | traffic_share_percent | cost,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\revenue_charts_v2\revenue_simulation_v2_chart_index.csv,revenue_simulation_v2_chart_index.csv,8,0,False,False,False,filename | description,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\revenue_charts_v2\revenue_simulation_v2_scenarios.csv,revenue_simulation_v2_scenarios.csv,200,1,False,False,True,sites | cpm | utilisation | traffic_volume | traffic_share_percent | revenue | cost | profit | roi_percent | break_even_cpm,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\revenue_charts_v2\roi_heatmap_1000_site_portfolio.csv,roi_heatmap_1000_site_portfolio.csv,4,0,False,False,False,Unnamed: 0 | $2 | $4 | $8 | $12 | $16,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\revenue_charts_v2\tier_based_revenue_summary.csv,tier_based_revenue_summary.csv,5,1,False,False,True,tier | sites | volume | cpm | revenue | cost | profit | roi_percent,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\site_rankings.csv,site_rankings.csv,4758,1,False,False,True,rank | scats_site | total_volume | months_present | first_month | last_month | avg_monthly_volume | max_monthly_volume | best_month | best_month_volume | percent_of_network | cumulative_volume | cumulative_percent | percentile_band,
A:\TrafficAnalytics\PROJECTS\reports\deduped\site_intelligence\site_totals_monthly_network_trend.csv,site_totals_monthly_network_trend.csv,147,1,False,False,True,month_label | total_volume | active_sites,
