sites,cpm,utilisation,traffic_volume,traffic_share_percent,revenue,cost,profit,roi_percent,break_even_cpm
4000,4,0.75,530786929175,98.4724555276644,1592360787.525,48000000.0,1544360787.525,3217.4183073437503,0.12057568956996537
4000,4,1.0,530786929175,98.4724555276644,2123147716.7,48000000.0,2075147716.7,4323.224409791667,0.09043176717747403
4000,8,0.25,530786929175,98.4724555276644,1061573858.35,48000000.0,1013573858.35,2111.6122048958337,0.3617270687098961
4000,8,0.5,530786929175,98.4724555276644,2123147716.7,48000000.0,2075147716.7,4323.224409791667,0.18086353435494806
4000,8,0.75,530786929175,98.4724555276644,3184721575.05,48000000.0,3136721575.05,6534.8366146875005,0.12057568956996537
4000,8,1.0,530786929175,98.4724555276644,4246295433.4,48000000.0,4198295433.4,8746.448819583335,0.09043176717747403
4000,12,0.25,530786929175,98.4724555276644,1592360787.525,48000000.0,1544360787.525,3217.4183073437503,0.3617270687098961
4000,12,0.5,530786929175,98.4724555276644,3184721575.05,48000000.0,3136721575.05,6534.8366146875005,0.18086353435494806
4000,12,0.75,530786929175,98.4724555276644,4777082362.575001,48000000.0,4729082362.575001,9852.254922031252,0.12057568956996537
4000,12,1.0,530786929175,98.4724555276644,6369443150.1,48000000.0,6321443150.1,13169.673229375001,0.09043176717747403
4000,16,0.25,530786929175,98.4724555276644,2123147716.7,48000000.0,2075147716.7,4323.224409791667,0.3617270687098961
4000,16,0.5,530786929175,98.4724555276644,4246295433.4,48000000.0,4198295433.4,8746.448819583335,0.18086353435494806
4000,16,0.75,530786929175,98.4724555276644,6369443150.1,48000000.0,6321443150.1,13169.673229375001,0.12057568956996537
4000,16,1.0,530786929175,98.4724555276644,8492590866.8,48000000.0,8444590866.8,17592.89763916667,0.09043176717747403
