count_date,scats_site,total_volume
2021-05-22,2438,114167
2021-05-22,2487,135927
2021-05-22,2816,120784
2021-05-22,2929,122564
2021-05-22,3060,100983
2021-05-22,3357,114983
2021-05-22,3380,179355
2021-05-22,3386,132416
2021-05-22,3516,111792
2021-05-22,3519,122379
2021-05-22,4415,168633
2021-05-23,414,104475
2021-05-23,415,103274
2021-05-23,416,104544
2021-05-23,849,142023
2021-05-23,855,92188
2021-05-23,1359,121990
2021-05-23,2101,114037
2021-05-23,2404,123570
2021-05-23,2405,117482
2021-05-23,2438,96481
2021-05-23,2487,119344
2021-05-23,2816,102307
2021-05-23,2929,107991
2021-05-23,3060,95667
2021-05-23,3357,96590
2021-05-23,3380,162300
2021-05-23,3386,122698
2021-05-23,3516,96517
2021-05-23,3519,107198
2021-05-23,4415,153739
2021-05-24,414,112931
2021-05-24,415,110448
2021-05-24,416,115296
2021-05-24,849,159519
2021-05-24,855,122438
2021-05-24,1359,135813
2021-05-24,2101,113208
2021-05-24,2404,126451
2021-05-24,2405,114264
2021-05-24,2438,98083
2021-05-24,2487,122798
2021-05-24,2816,120208
2021-05-24,2929,106467
2021-05-24,3060,100790
2021-05-24,3357,121027
2021-05-24,3380,166576
2021-05-24,3386,121597
2021-05-24,3516,113417
2021-05-24,3519,121508
2021-05-24,4415,158503
2021-05-25,414,109484
2021-05-25,415,105078
2021-05-25,416,115392
2021-05-25,849,164682
2021-05-25,855,125003
2021-05-25,1359,128612
2021-05-25,2101,117387
2021-05-25,2404,126695
2021-05-25,2405,117558
2021-05-25,2438,96935
2021-05-25,2487,125670
2021-05-25,2816,119735
2021-05-25,2929,115349
2021-05-25,3060,104167
2021-05-25,3357,119827
2021-05-25,3380,168376
2021-05-25,3386,121854
2021-05-25,3516,115272
2021-05-25,3519,121929
2021-05-25,4415,158448
2021-05-26,414,113068
2021-05-26,415,112827
2021-05-26,416,117019
2021-05-26,849,163575
2021-05-26,855,126518
2021-05-26,1359,125981
2021-05-26,2101,118046
2021-05-26,2404,128016
2021-05-26,2405,119177
2021-05-26,2438,97900
2021-05-26,2487,122112
