count_date,total_volume
2016-05-17,122296106
2016-05-18,124392689
2016-05-20,130831407
2016-05-21,112105324
2016-05-22,93888763
2016-05-23,117277867
2016-05-24,122656145
2016-05-25,123925320
2016-05-26,124295561
2016-05-27,129844249
2016-05-28,110075604
2016-05-29,93048873
2016-05-30,117687187
2016-05-31,121914681
2016-06-01,123698795
2016-06-02,124743431
2016-06-03,129525710
2016-06-04,108428906
2016-06-05,90210480
2016-06-06,116947171
2016-06-07,120421907
2016-06-08,123324014
2016-06-09,125846645
2016-06-10,129471817
2016-06-11,101638901
2016-06-12,89555054
2016-06-13,82532795
2016-06-14,120185433
2016-06-15,123713011
2016-06-16,126103756
2016-06-17,128628246
2016-06-18,110084424
2016-06-19,92038626
2016-06-20,108236099
2016-06-21,119846165
2016-06-22,122733442
2016-06-23,123720780
2016-06-24,126516748
2016-06-25,107862888
2016-06-26,91819411
2016-06-27,111837058
2016-06-28,117277156
2016-06-29,119877484
2016-06-30,119976534
2016-07-01,123396123
2016-07-02,103884010
2016-07-03,89148114
2016-07-04,112622288
2016-07-05,114013097
2016-07-06,118390321
2016-07-07,121004977
2016-07-08,124834059
2016-07-09,107596914
2016-07-10,89306590
2016-07-11,115646164
2016-07-12,119701049
2016-07-13,122860272
2016-07-14,126578355
2016-07-15,129956758
2016-07-16,112005492
2016-07-17,95297840
2016-07-18,118278374
2016-07-19,122653876
2016-07-20,124669331
2016-07-21,126783011
2016-07-22,128976772
2016-07-23,110704265
2016-07-24,93446816
2016-07-25,116765983
2016-07-26,122597156
2016-07-27,124680009
2016-07-28,127665332
2016-07-29,130998822
2016-07-30,111831849
2016-07-31,95943885
2016-08-01,116565322
2016-08-02,122342791
2016-08-03,124430229
2016-08-04,127574722
2016-08-05,131504871
2016-08-06,111486011
2016-08-07,95468123
2016-08-08,117889357
2016-08-09,122392600
2016-08-10,124708287
2016-08-11,126926430
2016-08-12,130461580
2016-08-13,110986664
2016-08-14,95142479
2016-08-16,123237721
2016-08-17,125062013
2016-08-18,127512574
2016-08-19,128737549
2016-08-20,111396004
2016-08-21,93338136
2016-08-22,117126651
2016-08-23,123191271
2016-08-24,125042555
2016-08-25,127464605
2016-08-26,131359981
2016-08-27,112855284
2016-08-28,96543066
2016-08-29,119585494
2016-08-30,122223684
2016-08-31,125015108
2016-09-01,127355861
2016-09-02,131722050
2016-09-03,113550885
2016-09-04,95812303
2016-09-05,118208371
2016-09-06,123174365
2016-09-07,126144868
2016-09-08,128196220
2016-09-09,128955699
2016-09-10,110705731
2016-09-11,94749413
2016-09-12,117894307
2016-09-13,119792883
2016-09-14,123541590
2016-09-15,126119992
2016-09-16,129935347
2016-09-17,109966086
2016-09-18,90724362
2016-09-19,114952402
2016-09-20,117654601
2016-09-21,121330028
2016-09-22,123802263
2016-09-23,127698148
2016-09-24,108074517
2016-09-25,93546136
2016-09-26,115907314
2016-09-27,121110822
2016-09-28,125316487
2016-09-29,129708607
2016-09-30,98485050
2016-10-01,92408602
2016-10-02,89139831
2016-10-03,118473377
2016-10-04,122844934
2016-10-05,126871287
2016-10-06,131581870
2016-10-07,133496911
2016-10-08,116004361
2016-10-09,92152122
2016-10-10,121595443
2016-10-11,126525745
2016-10-12,127014052
2016-10-13,131520647
2016-10-14,135601928
2016-10-15,115264557
2016-10-16,95478726
2016-10-17,121744623
2016-10-18,125431998
2016-10-19,128778371
2016-10-20,132482000
2016-10-21,131762532
2016-10-22,110814506
2016-10-23,95536028
2016-10-24,122431783
2016-10-25,126817111
2016-10-26,128212370
2016-10-27,132330182
2016-10-28,135445574
2016-10-29,109971400
2016-10-30,90803070
2016-10-31,113184170
2016-11-01,84695414
2016-11-02,125545847
2016-11-03,130648910
2016-11-04,135078041
2016-11-05,112492721
2016-11-06,96883507
2016-11-07,122025454
2016-11-08,128592048
2016-11-09,129796151
2016-11-10,133321706
2016-11-11,137291261
2016-11-12,116383341
2016-11-13,96050217
2016-11-14,124105237
2016-11-15,128597129
2016-11-16,131851715
2016-11-17,134711290
2016-11-18,137559550
2016-11-19,118769869
2016-11-20,102615138
2016-11-21,122608641
2016-11-22,126877273
2016-11-23,130894831
2016-11-24,133875074
2016-11-25,137276375
2016-11-26,118288058
2016-11-27,100613865
2016-11-28,124798785
2016-11-29,129100382
2016-11-30,131623386
2016-12-01,133109995
2016-12-02,138772078
2016-12-03,119701147
2016-12-04,100333491
2016-12-05,125762337
2016-12-06,131251439
2016-12-07,134010783
2016-12-08,133698645
2016-12-09,138244184
2016-12-10,119436873
2016-12-11,103062949
2016-12-12,127955803
2016-12-13,130416728
2016-12-14,129424510
2016-12-15,137392235
2016-12-16,139308014
2016-12-17,119670401
2016-12-18,103009499
2016-12-19,128520833
2016-12-20,131392995
2016-12-21,133750266
2016-12-22,133514764
2016-12-23,128916243
2016-12-24,101932556
2016-12-25,77240170
2016-12-26,82204038
2016-12-27,84493733
2016-12-28,96723461
2016-12-29,95938445
2016-12-30,101748285
2016-12-31,87346924
2017-01-01,75428562
2017-01-02,76872651
2017-01-03,100145429
2017-01-04,104617587
2017-01-05,106679018
2017-01-06,111164895
2017-01-07,95023252
2017-01-08,86174261
2017-01-09,109505544
2017-01-10,113539170
2017-01-11,117310879
2017-01-12,120144448
2017-01-13,121336054
2017-01-14,104511975
2017-01-15,92512280
2017-01-16,116493210
2017-01-17,118267012
2017-01-18,123891875
2017-01-19,125644995
2017-01-20,126530692
2017-01-21,107551510
2017-01-22,95015411
2017-01-23,118969027
2017-01-24,124842021
2017-01-25,132065247
2017-01-26,89817835
2017-01-27,119877113
2017-01-28,103371998
2017-01-29,93078262
2017-01-30,120698297
2017-01-31,125755791
2017-02-01,128004546
2017-02-02,130270516
2017-02-03,134813475
2017-02-04,114398553
2017-02-05,94732439
2017-02-06,121466073
2017-02-07,126746247
2017-02-08,129323453
2017-02-09,129502640
2017-02-10,135380111
2017-02-11,115862324
2017-02-12,96166177
2017-02-14,130404096
2017-02-15,130697863
2017-02-16,131630266
2017-02-17,134788125
2017-02-18,114918460
2017-02-19,94444229
2017-02-20,115863525
2017-02-21,127934908
2017-02-22,129852382
2017-02-23,132704681
2017-02-24,136193143
2017-02-25,117059715
2017-02-26,100200174
2017-02-27,124651041
2017-02-28,128979521
2017-03-01,131354334
2017-03-02,132982931
2017-03-03,136540043
2017-03-04,117640592
2017-03-05,98258015
2017-03-06,125462621
2017-03-07,129065065
2017-03-08,132046074
2017-03-09,133847194
2017-03-10,136675842
2017-03-11,108497557
2017-03-12,93885198
2017-03-13,90020963
2017-03-14,127598529
2017-03-15,128593517
2017-03-16,133370236
2017-03-17,137547824
2017-03-18,117885586
2017-03-19,100378973
2017-03-20,123717649
2017-03-21,125768669
2017-03-22,129851316
2017-03-23,132779954
2017-03-24,136377126
2017-03-25,116336379
2017-03-26,99154890
2017-03-27,121553038
2017-03-28,128068966
2017-03-29,129818603
2017-03-30,131973287
2017-03-31,134904975
2017-04-01,112971373
2017-04-02,97954937
2017-04-03,120491753
2017-04-04,124461236
2017-04-05,126405782
2017-04-06,128432264
2017-04-07,131296736
2017-04-08,110153309
2017-04-09,90386913
2017-04-10,117353911
2017-04-11,123991073
2017-04-12,128272487
2017-04-13,133896420
2017-04-14,77412972
2017-04-15,94083463
2017-04-16,82827912
2017-04-17,83246366
2017-04-18,121328915
2017-04-19,126456936
2017-04-20,129857026
2017-04-21,131814708
2017-04-22,113346485
2017-04-23,96453284
2017-04-24,122113695
2017-04-25,80779406
2017-04-26,126116576
2017-04-27,130386036
2017-04-28,134059454
2017-04-29,114698352
2017-04-30,97160947
2017-05-01,122429270
2017-05-02,125816860
2017-05-03,128230830
2017-05-04,130983213
2017-05-05,134625550
2017-05-06,113996357
2017-05-07,96057079
2017-05-08,120343539
2017-05-09,124936555
2017-05-10,127488215
2017-05-11,129804148
2017-05-12,133466614
2017-05-13,117077131
2017-05-14,99739925
2017-05-15,120344717
2017-05-16,124850715
2017-05-17,126001085
2017-05-18,128680054
2017-05-19,132146257
2017-05-20,115054571
2017-05-21,96901438
2017-05-22,118488944
2017-05-23,124311779
2017-05-24,126606190
2017-05-25,129231513
2017-05-26,133080037
2017-05-27,114090230
2017-05-28,93262041
2017-05-29,119849731
2017-05-30,123094645
2017-05-31,125252879
2017-06-01,127437992
2017-06-02,131617501
2017-06-03,113408206
2017-06-04,94868411
2017-06-05,119487335
2017-06-06,123043603
2017-06-07,126577326
2017-06-08,128253048
2017-06-09,131091425
2017-06-10,105623782
2017-06-11,91509342
2017-06-12,82153351
