capability,relative_path,filename,rows_estimate,size_mb
SCATS site-level analytics,didntworkagainagain\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,10309,0.64
site-by-month trend analysis,didntworkagainagain\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,10309,0.64
"growth, volatility, concentration and ranking analysis",didntworkagainagain\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,10309,0.64
traffic volume analytics,didntworkagan\chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,1,0.0
monthly / seasonal analytics,didntworkagan\chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,1,0.0
SCATS site-level analytics,distinct_sites.csv,distinct_sites.csv,1,0.0
traffic volume analytics,high_impact_charts\commercial_value_ranking_top25.csv,commercial_value_ranking_top25.csv,25,0.004
SCATS site-level analytics,high_impact_charts\commercial_value_ranking_top25.csv,commercial_value_ranking_top25.csv,25,0.004
traffic volume analytics,high_impact_charts\declining_sites_top20.csv,declining_sites_top20.csv,20,0.002
SCATS site-level analytics,high_impact_charts\declining_sites_top20.csv,declining_sites_top20.csv,20,0.002
traffic volume analytics,high_impact_charts\month_of_year_profile_from_monthly_totals.csv,month_of_year_profile_from_monthly_totals.csv,12,0.0
monthly / seasonal analytics,high_impact_charts\month_of_year_profile_from_monthly_totals.csv,month_of_year_profile_from_monthly_totals.csv,12,0.0
traffic volume analytics,high_impact_charts\network_stability_index.csv,network_stability_index.csv,147,0.01
SCATS site-level analytics,high_impact_charts\network_stability_index.csv,network_stability_index.csv,147,0.01
traffic volume analytics,high_impact_charts\rising_sites_top20.csv,rising_sites_top20.csv,20,0.002
SCATS site-level analytics,high_impact_charts\rising_sites_top20.csv,rising_sites_top20.csv,20,0.002
traffic volume analytics,high_impact_charts\shock_detection_timeline.csv,shock_detection_timeline.csv,147,0.011
traffic volume analytics,high_impact_charts\site_lifecycle_cluster_assignments.csv,site_lifecycle_cluster_assignments.csv,4539,0.615
SCATS site-level analytics,high_impact_charts\site_lifecycle_cluster_assignments.csv,site_lifecycle_cluster_assignments.csv,4539,0.615
traffic volume analytics,high_impact_charts\site_lifecycle_cluster_summary.csv,site_lifecycle_cluster_summary.csv,4,0.0
SCATS site-level analytics,high_impact_charts\site_lifecycle_cluster_summary.csv,site_lifecycle_cluster_summary.csv,4,0.0
traffic volume analytics,high_impact_charts\traffic_concentration_curve.csv,traffic_concentration_curve.csv,4758,0.425
SCATS site-level analytics,high_impact_charts\traffic_concentration_curve.csv,traffic_concentration_curve.csv,4758,0.425
SCATS site-level analytics,high_impact_charts\traffic_concentration_milestones.csv,traffic_concentration_milestones.csv,4,0.0
traffic volume analytics,high_impact_charts\traffic_momentum_index.csv,traffic_momentum_index.csv,147,0.008
traffic volume analytics,high_impact_charts\weekday_profile.csv,weekday_profile.csv,7,0.0
day-of-week / weekday-weekend analytics,high_impact_charts\weekday_profile.csv,weekday_profile.csv,7,0.0
traffic volume analytics,in progress tests\chunked_busiest_day_monthly.csv,chunked_busiest_day_monthly.csv,2916,0.207
monthly / seasonal analytics,in progress tests\chunked_busiest_day_monthly.csv,chunked_busiest_day_monthly.csv,2916,0.207
traffic volume analytics,in progress tests\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,271963,17.132
monthly / seasonal analytics,in progress tests\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,271963,17.132
SCATS site-level analytics,in progress tests\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,271963,17.132
site-by-month trend analysis,in progress tests\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,271963,17.132
"growth, volatility, concentration and ranking analysis",in progress tests\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,271963,17.132
traffic volume analytics,in progress tests\chunked_busiest_time_bin_monthly.csv,chunked_busiest_time_bin_monthly.csv,11617,0.952
15-minute / time-of-day analytics,in progress tests\chunked_busiest_time_bin_monthly.csv,chunked_busiest_time_bin_monthly.csv,11617,0.952
monthly / seasonal analytics,in progress tests\chunked_busiest_time_bin_monthly.csv,chunked_busiest_time_bin_monthly.csv,11617,0.952
traffic volume analytics,in progress tests\day_of_week_profile.csv,day_of_week_profile.csv,561,0.062
day-of-week / weekday-weekend analytics,in progress tests\day_of_week_profile.csv,day_of_week_profile.csv,561,0.062
monthly / seasonal analytics,in progress tests\day_of_week_profile.csv,day_of_week_profile.csv,561,0.062
traffic volume analytics,in progress tests\month_of_year_profile.csv,month_of_year_profile.csv,90,0.011
monthly / seasonal analytics,in progress tests\month_of_year_profile.csv,month_of_year_profile.csv,90,0.011
yearly trend analytics,in progress tests\month_of_year_profile.csv,month_of_year_profile.csv,90,0.011
traffic volume analytics,in progress tests\site_month_totals.csv,site_month_totals.csv,486312,38.411
monthly / seasonal analytics,in progress tests\site_month_totals.csv,site_month_totals.csv,486312,38.411
SCATS site-level analytics,in progress tests\site_month_totals.csv,site_month_totals.csv,486312,38.411
site-by-month trend analysis,in progress tests\site_month_totals.csv,site_month_totals.csv,486312,38.411
"growth, volatility, concentration and ranking analysis",in progress tests\site_month_totals.csv,site_month_totals.csv,486312,38.411
