scats_site,time_bin,avg_15m_volume
3383,16:45,71.19398011884267
3383,17:00,70.85544800014807
3383,17:15,71.82318550998131
3383,17:30,71.08349360159775
3383,17:45,69.78205009705148
3383,18:00,68.13516412390199
3383,18:15,67.49253179532683
3383,18:30,65.33148987330065
3383,18:45,61.96299447043811
3383,19:00,56.68846395679994
3383,19:15,54.00656714209076
3383,19:30,50.01874410780635
3383,19:45,46.97460088425181
3383,20:00,44.269221521445616
3383,20:15,44.10838824313319
3383,20:30,42.603789995743654
3383,20:45,41.64750333382723
3383,21:00,42.31488652153775
3383,21:15,43.311771140404545
3383,21:30,42.014100970369405
3383,21:45,41.303002763506875
3383,22:00,40.80082348795371
3383,22:15,40.22192146538618
3383,22:30,37.73073501612365
3383,22:45,34.74522529204524
3383,23:00,32.739200533718794
3383,23:15,30.231549285330267
3383,23:30,27.00953686042851
3383,23:45,23.778051536651784
3384,00:00,22.303264557032424
3384,00:15,20.215299655312997
3384,00:30,18.015313594986928
3384,00:45,15.933907886201464
3384,01:00,14.550997679814385
3384,01:15,13.544413350877518
3384,01:30,12.535451734162917
3384,01:45,11.459802303369745
3384,02:00,10.90112175915608
3384,02:15,10.293205578147921
3384,02:30,9.74161080057197
3384,02:45,9.359586183881195
3384,03:00,9.069722186185295
3384,03:15,9.236504141880246
3384,03:30,8.749411830088365
3384,03:45,8.39655460159104
3384,04:00,8.465136526990479
3384,04:15,9.092052146216806
3384,04:30,9.695196474204659
3384,04:45,10.493199859371241
3384,05:00,11.978953408733318
3384,05:15,17.04224126760824
3384,05:30,24.397831356512405
3384,05:45,31.631163927143493
3384,06:00,39.546675298252104
3384,06:15,51.41531228018215
3384,06:30,58.86753323704774
3384,06:45,55.547801943544656
3384,07:00,51.22183769778847
3384,07:15,53.84542680107278
3384,07:30,56.56750453485359
3384,07:45,57.007017219033514
3384,08:00,56.12103383841187
3384,08:15,57.05024419120912
3384,08:30,58.55037196047226
3384,08:45,59.353930401642835
3384,09:00,58.30163164126091
3384,09:15,59.27288703083668
3384,09:30,56.968391070338654
3384,09:45,56.695079541250465
3384,10:00,54.9809474482529
3384,10:15,55.89762323129566
3384,10:30,56.611671136594836
3384,10:45,56.9766245303622
3384,11:00,56.51075368327534
3384,11:15,57.33180858550317
3384,11:30,58.18231491600141
3384,11:45,58.35098736615909
3384,12:00,58.30602186399852
3384,12:15,59.05253314569291
3384,12:30,59.25106966233862
3384,12:45,58.78782263892234
3384,13:00,58.075797699957405
3384,13:15,58.82924390289069
3384,13:30,59.20940352956427
3384,13:45,58.98400088883951
3384,14:00,58.958435886522196
3384,14:15,60.84696731178813
3384,14:30,62.12281481481482
3384,14:45,62.55029344787366
3384,15:00,63.023329877055254
3384,15:15,64.26247686042207
3384,15:30,65.14194479924474
3384,15:45,65.42082754790336
3384,16:00,66.0270760797096
3384,16:15,67.7497037037037
3384,16:30,67.72841746601978
3384,16:45,67.68848725023611
3384,17:00,67.1421775507182
3384,17:15,67.57135978071638
3384,17:30,66.60331939458979
3384,17:45,65.61599822324222
3384,18:00,64.81797490840458
3384,18:15,64.70657785179017
3384,18:30,63.24970396684429
3384,18:45,60.37457209999445
3384,19:00,55.706540256277314
3384,19:15,53.6173202977447
3384,19:30,50.034536368684066
3384,19:45,47.151968139297956
3384,20:00,44.54078835253584
3384,20:15,44.336230219026795
3384,20:30,42.87033672031447
3384,20:45,41.63200252192779
3384,21:00,41.935447968836954
3384,21:15,42.74331272855525
3384,21:30,41.85991235237317
3384,21:45,41.29661882392261
3384,22:00,40.975398108404406
3384,22:15,40.37581960361833
3384,22:30,38.062628813339025
3384,22:45,35.19503315563646
3384,23:00,33.249340859296666
3384,23:15,30.74856516651498
3384,23:30,27.594871890016513
3384,23:45,24.39188713175995
3385,00:00,24.342416477776684
3385,00:15,22.67011105270075
3385,00:30,20.30203833582445
3385,00:45,18.363167660049587
3385,01:00,16.5199052834098
3385,01:15,15.588753609871357
3385,01:30,14.39095426294298
3385,01:45,13.287771792682125
3385,02:00,12.264663805436337
3385,02:15,11.20976283674879
3385,02:30,10.668250419228618
3385,02:45,10.259151694150464
